r_A,g_r,pmf_kcal_mol
0.007880438856448868,0.0,0.0
0.023641316569346607,0.0,0.0
0.03940219428224434,0.0,0.0
0.05516307199514208,0.0,0.0
0.07092394970803981,0.0,0.0
0.08668482742093755,0.0,0.0
0.1024457051338353,0.0,0.0
0.11820658284673302,0.0,0.0
0.13396746055963077,0.0,0.0
0.14972833827252852,0.0,0.0
0.16548921598542624,0.0,0.0
0.18125009369832398,0.0,0.0
0.1970109714112217,0.0,0.0
0.21277184912411945,0.0,0.0
0.2285327268370172,0.0,0.0
0.24429360454991492,0.0,0.0
0.2600544822628127,0.0,0.0
0.2758153599757104,0.0,0.0
0.29157623768860813,0.0,0.0
0.3073371154015059,0.0,0.0
0.32309799311440357,0.0,0.0
0.3388588708273014,0.0,0.0
0.35461974854019906,0.0,0.0
0.37038062625309687,0.0,0.0
0.38614150396599456,0.0,0.0
0.40190238167889225,0.0,0.0
0.41766325939179005,0.0,0.0
0.43342413710468775,0.0,0.0
0.44918501481758555,0.0,0.0
0.46494589253048324,0.0,0.0
0.48070677024338093,0.0,0.0
0.49646764795627873,0.0,0.0
0.5122285256691764,0.0,0.0
0.5279894033820742,0.0,0.0
0.5437502810949719,0.0,0.0
0.5595111588078696,0.0,0.0
0.5752720365207674,0.0,0.0
0.5910329142336651,0.0,0.0
0.6067937919465629,0.0,0.0
0.6225546696594606,0.0,0.0
0.6383155473723583,0.0,0.0
0.6540764250852561,0.0,0.0
0.6698373027981538,0.0,0.0
0.6855981805110516,0.0,0.0
0.7013590582239493,0.0,0.0
0.717119935936847,0.0,0.0
0.7328808136497448,0.0,0.0
0.7486416913626426,0.0,0.0
0.7644025690755403,0.0,0.0
0.780163446788438,0.0,0.0
0.7959243245013357,0.0,0.0
0.8116852022142335,0.0,0.0
0.8274460799271313,0.0,0.0
0.843206957640029,0.0,0.0
0.8589678353529266,0.0,0.0
0.8747287130658243,0.0,0.0
0.8904895907787221,0.0,0.0
0.9062504684916199,0.0,0.0
0.9220113462045176,0.0,0.0
0.9377722239174153,0.0,0.0
0.953533101630313,0.0,0.0
0.9692939793432108,0.0,0.0
0.9850548570561086,0.0,0.0
1.0008157347690063,0.0,0.0
1.016576612481904,0.0,0.0
1.0323374901948017,0.0,0.0
1.0480983679076994,0.0,0.0
1.0638592456205973,0.0,0.0
1.079620123333495,0.0,0.0
1.0953810010463927,0.0,0.0
1.1111418787592904,0.0,0.0
1.1269027564721883,0.0,0.0
1.142663634185086,0.0,0.0
1.1584245118979837,0.0,0.0
1.1741853896108814,0.0,0.0
1.189946267323779,0.0,0.0
1.2057071450366768,0.0,0.0
1.2214680227495747,0.0,0.0
1.2372289004624724,0.0,0.0
1.25298977817537,0.0,0.0
1.2687506558882677,0.0,0.0
1.2845115336011657,0.0,0.0
1.3002724113140633,0.0,0.0
1.316033289026961,0.0,0.0
1.3317941667398587,0.0,0.0
1.3475550444527564,0.0,0.0
1.3633159221656541,0.0,0.0
1.379076799878552,0.0,0.0
1.3948376775914497,0.0,0.0
1.4105985553043474,0.0,0.0
1.426359433017245,0.0,0.0
1.442120310730143,0.0,0.0
1.4578811884430407,0.0,0.0
1.4736420661559384,0.0,0.0
1.489402943868836,0.0,0.0
1.5051638215817338,0.0,0.0
1.5209246992946317,0.0,0.0
1.5366855770075294,0.0,0.0
1.552446454720427,0.0,0.0
1.5682073324333248,0.0,0.0
1.5839682101462227,0.0,0.0
1.5997290878591204,0.0,0.0
1.615489965572018,0.0,0.0
1.6312508432849158,0.0,0.0
1.6470117209978135,0.0,0.0
1.6627725987107111,0.0,0.0
1.678533476423609,0.0,0.0
1.6942943541365068,0.0,0.0
1.7100552318494044,0.0,0.0
1.7258161095623021,0.0,0.0
1.7415769872752,0.0,0.0
1.7573378649880977,0.0,0.0
1.7730987427009954,0.0,0.0
1.7888596204138931,0.0,0.0
1.8046204981267908,0.0,0.0
1.8203813758396885,0.0,0.0
1.8361422535525864,0.0,0.0
1.8519031312654841,0.0,0.0
1.8676640089783818,0.0,0.0
1.8834248866912795,0.0,0.0
1.8991857644041774,0.0,0.0
1.914946642117075,0.0,0.0
